PageValues,Month,VisitorType,ExitRates,ProductRelated_Duration,Administrative,ProductRelated,SpecialDay,Administrative_Duration,Informational_Duration,TrafficType,Informational,OperatingSystems,Weekend,Browser,Region,Revenue
0.0,2,2,0.120833333,400.8,0,8,0.0,0.0,0.0,3,0,1,0,1,1,0
38.30849268,2,2,0.019666667,1553.583333,12,42,0.0,279.4166667,0.0,2,0,1,0,1,3,0
0.0,2,2,0.007142857,706.5,0,14,0.0,0.0,0.0,4,0,2,1,2,5,0
0.0,2,2,0.2,0.0,0,1,0.0,0.0,0.0,3,0,2,0,2,4,0
22.9160357,2,2,0.012643678,798.3333333,3,27,0.8,87.83333333,0.0,1,0,2,0,2,3,1
0.0,2,2,0.015013034,6951.972222,4,90,0.0,44.0,0.0,3,0,4,0,1,1,0
0.0,2,2,0.2,0.0,0,1,0.6,0.0,0.0,1,0,2,0,2,5,0
0.0,2,2,0.007407407,902.0,0,18,0.0,0.0,0.0,4,0,2,0,7,2,0
0.0,2,2,0.2,0.0,0,1,0.2,0.0,0.0,3,0,3,0,2,3,0
0.0,2,2,0.2,0.0,0,1,0.0,0.0,0.0,2,0,2,0,6,1,0
0.0,2,2,0.0525,197.3777778,0,20,0.0,0.0,0.0,1,0,2,0,6,6,0
0.0,2,2,0.1,43.0,0,2,0.4,0.0,0.0,3,0,2,0,2,3,0
0.0,2,2,0.0125,426.6666667,0,8,0.0,0.0,0.0,2,0,2,0,4,3,0
0.0,2,2,0.066666667,135.0,0,3,0.0,0.0,0.0,3,0,2,0,4,3,0
0.0,2,2,0.025,588.3333333,0,16,0.0,0.0,0.0,1,0,2,0,4,1,0
11.43941195,2,2,0.014492754,2111.341667,10,36,0.0,1005.666667,0.0,2,0,2,0,6,1,1
0.0,2,2,0.05,76.0,0,2,0.6,0.0,0.0,3,0,3,0,2,3,0
0.0,2,2,0.2,0.0,0,1,1.0,0.0,0.0,3,0,1,1,1,1,0
0.0,2,2,0.2,0.0,0,1,0.4,0.0,0.0,3,0,1,0,1,1,0
0.0,2,2,0.028571429,208.0,0,7,0.0,0.0,0.0,5,0,4,1,1,1,0
0.0,2,2,0.016666667,270.0,0,4,0.8,0.0,0.0,3,0,1,0,1,1,0
0.0,2,2,0.02,39.5,0,6,0.0,0.0,0.0,3,0,2,0,2,1,0
0.0,2,2,0.058333333,375.0,0,12,0.0,0.0,0.0,1,0,3,0,2,4,0
0.0,2,2,0.2,0.0,0,1,0.8,0.0,0.0,1,0,2,1,2,2,0
0.0,2,2,0.2,0.0,0,1,0.0,0.0,0.0,3,0,1,0,1,1,0
0.0,2,2,0.085714286,150.0,0,7,0.0,0.0,0.0,1,0,2,0,2,2,0
0.0,2,2,0.066666667,138.0,0,3,0.0,0.0,0.0,3,0,1,0,1,1,0
0.0,2,2,0.023809524,337.5,0,7,0.4,0.0,0.0,3,0,4,0,1,3,0
0.0,2,2,0.007894737,620.0333333,0,19,0.0,0.0,0.0,2,0,1,0,1,4,0
0.0,2,2,0.011764706,168.8461538,2,15,0.4,36.0,0.0,3,0,1,0,1,1,0
0.0,2,2,0.2,0.0,0,1,0.0,0.0,0.0,2,0,1,1,1,1,0
0.0,2,2,0.1,52.0,0,2,0.0,0.0,0.0,3,0,1,0,1,1,0
0.0,2,0,0.015384615,649.25,0,13,0.0,0.0,0.0,5,0,2,0,2,1,0
0.0,2,2,0.025925926,925.3333333,0,27,0.6,0.0,0.0,3,0,4,0,1,3,0
0.0,2,2,0.1,33.0,0,2,0.2,0.0,0.0,3,0,1,0,1,1,0
0.0,2,2,0.066666667,1566.5,0,6,0.2,0.0,0.0,3,0,1,0,1,1,0
0.0,2,2,0.025,105.0,0,4,0.6,0.0,0.0,4,0,1,0,1,1,0
0.0,2,2,0.080952381,50.0,0,7,0.6,0.0,0.0,7,1,2,0,4,1,0
0.0,2,2,0.031666667,644.2,0,16,0.0,0.0,0.0,4,0,3,0,2,3,0
0.0,2,2,0.008947368,2635.177778,3,38,0.4,18.33333333,0.0,2,0,2,0,4,1,0
17.53595893,2,2,0.026984127,607.0,4,19,1.0,61.0,0.0,4,0,1,1,1,7,1
0.0,2,2,0.033333333,415.0,0,6,0.4,0.0,0.0,2,0,1,0,1,3,0
0.0,2,2,0.01351025,2083.530952,2,36,0.8,31.0,16.0,3,1,2,0,2,4,0
0.0,2,2,0.017647059,281.6666667,3,17,0.0,58.5,0.0,4,0,1,0,1,3,0
0.0,2,2,0.15,27.0,0,2,0.0,0.0,0.0,2,0,1,0,1,7,0
0.0,2,2,0.074074074,215.0,0,9,0.8,0.0,0.0,3,1,4,0,1,1,0
0.0,2,2,0.066666667,162.0,0,12,0.0,0.0,0.0,3,0,1,0,1,1,0
0.0,2,2,0.066666667,114.0,0,2,0.8,0.0,0.0,3,0,3,0,3,1,0
0.0,2,2,0.01791847,5062.213753,6,128,0.0,326.25,94.0,3,4,2,0,5,1,0
0.0,2,2,0.016666667,253.0,0,4,0.6,0.0,0.0,3,0,2,0,2,3,0
0.0,2,2,0.2,0.0,0,4,0.4,0.0,0.0,3,0,2,0,2,1,0
0.0,2,2,0.2,0.0,0,1,0.8,0.0,0.0,3,0,1,0,1,2,0
0.0,2,2,0.024,436.5,2,25,0.2,22.0,0.0,1,0,2,0,4,1,0
0.0,2,2,0.035483871,1045.833333,0,30,0.2,0.0,93.0,3,1,1,0,1,1,0
0.0,2,2,0.005555556,317.8333333,0,12,0.0,0.0,0.0,4,0,1,1,1,1,0
0.0,2,2,0.012962963,1146.333333,0,21,0.8,0.0,0.0,3,0,3,0,2,1,0
0.0,2,2,0.027272727,577.0,0,11,0.2,0.0,0.0,1,0,2,0,2,3,0
0.0,2,2,0.075,95.0,0,8,0.0,0.0,0.0,3,0,4,0,1,3,0
0.0,2,2,0.111111111,301.5,0,6,0.0,0.0,0.0,3,0,2,0,4,9,0
0.0,2,2,0.033333333,243.0,0,6,0.0,0.0,0.0,1,0,2,0,4,4,0
0.0,2,2,0.05,135.5,0,4,0.6,0.0,0.0,2,0,2,0,2,1,0
0.0,2,2,0.034375,442.3333333,0,14,0.8,0.0,75.0,3,2,1,0,1,3,0
0.0,2,2,0.066666667,41.0,0,3,0.0,0.0,0.0,3,0,1,0,1,3,0
0.0,2,2,0.11952381,292.9,0,11,0.0,0.0,0.0,1,0,2,0,4,3,0
0.0,2,2,0.2,0.0,0,1,0.0,0.0,0.0,3,0,1,0,1,3,0
0.0,2,2,0.040740741,1238.333333,0,9,0.4,0.0,0.0,3,0,2,0,2,1,0
0.0,2,2,0.05,225.4666667,0,10,0.4,0.0,0.0,3,0,1,0,1,8,0
0.0,2,2,0.00754717,1873.216667,4,51,0.6,462.0,0.0,3,0,2,0,2,9,0
0.0,2,2,0.166666667,13.0,0,3,0.0,0.0,0.0,1,0,2,0,4,1,0
0.0,2,2,0.1,222.0,0,2,0.0,0.0,0.0,2,0,2,1,6,1,0
0.0,2,2,0.022222222,214.8333333,2,16,0.0,20.0,0.0,6,0,2,0,2,1,0
0.0,2,2,0.2,0.0,0,1,0.0,0.0,0.0,3,0,3,0,2,3,0
0.0,2,2,0.011111111,2017.166667,0,6,0.8,0.0,0.0,3,0,2,0,2,4,0
0.0,2,2,0.018518519,449.0277778,6,26,0.6,111.5,0.0,3,0,1,0,1,3,0
0.0,2,2,0.033333333,158.1666667,0,6,0.0,0.0,0.0,2,0,3,0,2,4,0
0.0,2,2,0.046296296,303.6666667,0,9,0.0,0.0,0.0,2,0,2,0,4,5,0
0.0,2,2,0.066666667,25.0,0,3,0.0,0.0,0.0,5,0,2,0,4,1,0
0.0,2,2,0.15,42.0,0,2,0.4,0.0,0.0,4,0,2,0,2,1,0
0.0,2,2,0.018039216,1003.416667,4,14,0.2,103.625,0.0,3,0,1,0,1,3,0
0.0,2,2,0.2,0.0,0,1,0.0,0.0,0.0,3,0,2,0,2,7,0
0.0,2,2,0.011851852,272.5,0,9,0.2,0.0,0.0,3,0,1,0,1,6,0
0.0,2,2,0.007407407,344.0,3,8,0.0,19.0,0.0,3,0,2,0,4,2,0
0.0,2,2,0.2,0.0,0,1,0.0,0.0,0.0,3,0,2,0,2,2,0
0.0,2,2,0.009090909,852.0,0,10,0.0,0.0,19.0,6,1,2,0,2,3,0
0.0,2,2,0.066666667,780.0,0,3,0.4,0.0,0.0,3,0,2,0,4,1,0
0.0,2,2,0.033333333,1038.0,0,3,0.0,0.0,0.0,1,0,2,0,2,1,0
0.0,2,2,0.05,573.0,0,4,0.0,0.0,0.0,3,0,2,0,2,3,0
0.0,2,2,0.030357143,1231.233333,0,28,0.0,0.0,0.0,3,0,1,0,1,4,0
0.0,2,2,0.027272727,316.6666667,0,11,0.8,0.0,0.0,1,0,2,0,2,2,0
0.0,2,2,0.028166667,873.7365079,0,20,0.0,0.0,0.0,1,0,1,0,2,1,0
0.0,2,2,0.2,0.0,0,1,0.4,0.0,0.0,4,0,2,0,2,3,0
0.0,2,2,0.15,16.0,0,4,0.0,0.0,0.0,1,0,2,0,5,5,0
0.0,2,2,0.026315789,615.0,0,19,0.2,0.0,0.0,3,0,2,0,2,3,0
0.0,2,2,0.026666667,261.75,0,9,0.0,0.0,0.0,1,0,2,0,6,1,0
0.0,2,2,0.04993081,615.8831169,0,21,0.0,0.0,0.0,1,0,3,1,2,2,0
0.0,2,2,0.2,0.0,0,1,0.0,0.0,0.0,2,0,3,1,3,3,0
0.0,2,2,0.033333333,117.5,0,6,0.8,0.0,0.0,3,0,1,1,1,1,0
0.0,2,2,0.2,0.0,0,1,0.0,0.0,0.0,3,0,1,0,1,1,0
0.0,2,2,0.2,0.0,0,1,0.0,0.0,0.0,3,0,3,0,2,3,0
0.0,2,2,0.01884058,501.6666667,0,23,0.6,0.0,0.0,2,0,1,0,1,4,0
0.0,2,2,0.040606061,829.1666667,2,31,0.0,58.0,22.0,1,2,1,1,1,1,0
0.0,2,2,0.012463768,1223.0,1,23,0.0,9.5,0.0,2,0,1,1,1,1,0
0.0,2,2,0.016666667,467.0,0,6,0.4,0.0,0.0,3,0,1,0,1,3,0
0.0,2,2,0.011594203,737.1666667,0,23,0.6,0.0,0.0,3,0,2,0,2,1,0
0.0,2,2,0.033333333,129.0,0,12,0.0,0.0,0.0,2,0,1,0,1,3,0
0.0,2,2,0.04,63.0,0,5,0.0,0.0,0.0,3,0,2,0,2,1,0
0.0,2,2,0.166666667,125.0,0,5,0.0,0.0,0.0,3,0,2,0,2,1,0
0.0,2,2,0.063636364,684.3333333,0,11,0.0,0.0,0.0,1,0,2,0,4,6,0
0.0,2,2,0.0145,665.4722222,0,20,0.8,0.0,0.0,4,0,3,1,2,7,0
0.0,2,2,0.019166667,487.5,1,15,0.8,0.0,0.0,4,0,1,1,1,2,0
0.0,2,2,0.033333333,437.1666667,0,17,0.0,0.0,0.0,3,0,2,0,4,1,0
0.0,2,2,0.1,55.0,0,3,0.6,0.0,0.0,3,0,1,0,1,1,0
0.0,2,2,0.2,0.0,0,1,0.8,0.0,0.0,2,0,1,1,1,1,0
0.0,2,2,0.008602151,446.9277778,5,24,1.0,41.3,0.0,1,0,2,1,2,8,0
0.0,2,2,0.015384615,320.5,3,10,0.0,87.0,0.0,3,0,1,0,1,2,0
0.0,2,2,0.014285714,666.0,0,7,0.0,0.0,0.0,2,0,1,0,1,6,0
0.0,2,2,0.047002635,405.7095238,1,21,0.0,0.0,0.0,4,0,1,0,1,1,0
0.0,2,2,0.2,0.0,0,1,0.0,0.0,0.0,3,0,3,0,2,3,0
0.0,2,2,0.033333333,163.25,0,6,0.6,0.0,0.0,2,0,1,0,1,6,0
0.0,2,2,0.011764706,284.25,0,17,0.0,0.0,0.0,2,0,3,1,2,6,0
0.0,2,2,0.2,0.0,0,1,0.6,0.0,0.0,3,0,4,0,2,1,0
0.0,2,2,0.2,0.0,0,1,0.0,0.0,0.0,1,0,2,0,4,1,0
0.0,2,2,0.025,260.0,0,8,0.8,0.0,0.0,3,0,3,1,2,1,0
0.0,5,2,0.012764202,279.8571429,0,5,0.0,0.0,1210.397619,8,16,2,0,2,1,0
8.000740741,5,2,0.027248677,927.45,0,20,0.0,0.0,0.0,1,0,1,0,1,3,0
0.0,5,2,0.006339869,836.8,2,50,0.0,9.0,0.0,2,0,2,0,2,3,0
0.0,5,2,0.013509414,3283.166739,10,96,0.0,293.7782051,153.0,2,2,3,1,2,6,0
1.706014966,5,2,0.020708874,1868.819697,9,49,0.0,111.5,48.5,2,1,2,0,2,7,1
46.53017511,5,2,0.016727891,3008.124108,3,68,0.0,47.0,51.0,1,1,2,0,2,1,0
0.0,5,2,0.2,0.0,0,2,0.0,0.0,0.0,3,0,1,0,1,1,0
0.0,5,2,0.096,3230.25,3,24,0.0,1226.0,3.0,2,5,2,0,2,1,0
0.0,5,2,0.02,319.0,3,9,0.0,52.0,0.0,1,0,1,0,1,1,0
0.0,5,2,0.066666667,42.0,0,3,0.0,0.0,0.0,1,0,2,0,2,3,0
0.0,5,2,0.057662338,354.3333333,0,22,0.0,0.0,0.0,2,0,1,1,1,7,0
0.0,5,2,0.010173465,3556.61241,0,98,0.0,0.0,0.0,3,0,1,0,1,1,0
19.34265017,5,0,0.005797101,2563.783333,2,67,0.0,56.0,144.0,2,1,2,0,2,4,1
0.0,5,2,0.06140625,3014.018519,3,13,0.0,112.9607843,0.0,2,0,2,0,2,1,0
109.176,5,0,0.001666667,840.2333333,0,17,0.0,0.0,0.0,2,0,2,0,2,9,1
96.25511582,5,0,0.001724138,1970.844805,3,55,0.0,94.0,125.0,2,2,2,1,4,1,1
153.4432478,5,2,0.004,2867.0,1,50,0.0,32.0,0.0,8,0,2,1,2,7,1
0.0,5,2,0.04,43.0,0,5,0.0,0.0,0.0,9,0,1,1,1,1,0
0.0,5,0,0.004166667,284.5,5,13,0.0,218.0,0.0,2,0,1,0,1,1,0
0.0,5,2,0.088888889,133.5,0,3,0.0,0.0,0.0,8,0,1,0,2,1,0
0.0,5,2,0.008333333,297.6666667,1,12,0.0,119.0,0.0,10,0,3,0,2,1,0
0.0,5,0,0.005263158,453.75,3,16,0.0,281.0,0.0,2,0,2,0,2,5,0
33.79956701,5,0,0.0125,1331.75,1,16,0.0,18.0,0.0,3,0,2,0,5,2,1
0.0,5,0,0.028571429,558.5,2,5,0.0,40.0,0.0,2,0,2,1,2,7,0
0.0,5,0,0.016666667,145.8333333,3,4,0.0,107.0,0.0,1,0,3,0,2,7,0
0.0,5,2,0.04375,731.0,0,8,0.0,0.0,0.0,3,0,2,0,4,1,0
0.0,5,2,0.0375,188.0,2,4,0.0,49.0,127.0,2,1,3,0,2,3,0
0.0,5,2,0.04952381,565.3333333,0,14,0.0,0.0,0.0,1,0,2,0,6,3,0
0.0,5,2,0.05,50.0,0,2,0.0,0.0,0.0,11,0,3,0,2,8,0
0.0,5,2,0.033333333,591.0,4,7,0.0,57.0,0.0,6,0,1,1,2,6,0
0.0,5,2,0.042857143,281.0,2,10,0.0,2.0,261.0,2,3,2,0,2,1,0
0.0,5,2,0.02,483.8333333,2,18,0.0,123.0,306.3333333,1,2,2,0,2,4,0
0.0,5,2,0.066666667,42.0,2,4,0.0,118.0,0.0,3,0,1,0,2,7,0
0.0,5,2,0.028571429,1192.386111,0,35,0.0,0.0,0.0,2,0,2,0,4,2,0
0.0,5,2,0.075,198.0,0,12,0.0,0.0,0.0,2,0,2,0,2,3,0
0.0,5,2,0.066666667,15.0,0,3,0.0,0.0,0.0,12,0,2,0,4,3,0
35.0928,5,2,0.013333333,643.0,2,14,0.0,38.0,0.0,1,0,2,0,2,5,1
0.0,5,2,0.12,23.0,0,5,0.0,0.0,0.0,1,0,2,0,2,1,0
0.0,5,2,0.15,14.0,0,4,0.0,0.0,0.0,1,0,3,0,2,1,0
0.0,5,0,0.02,210.5,1,6,0.0,54.0,0.0,8,0,2,0,2,1,0
0.0,5,2,0.009150327,1529.30467,1,28,0.0,993.0,0.0,2,0,3,0,2,4,0
0.0,5,2,0.1,19.0,0,2,0.0,0.0,0.0,11,0,2,1,2,3,0
0.0,5,2,0.006578947,1599.083333,5,37,0.0,74.25,84.0,1,2,2,0,2,4,0
0.0,5,2,0.022222222,102.5,0,9,0.0,0.0,0.0,3,0,2,0,2,1,0
17.76266667,5,2,0.013333333,2337.0,0,16,0.0,0.0,0.0,1,0,2,0,2,1,1
0.0,5,2,0.021052632,1883.5,0,19,0.0,0.0,0.0,3,0,2,0,2,1,0
7.146260888,5,2,0.020666667,1245.3,2,50,0.0,32.0,0.0,9,0,2,1,2,7,0
0.0,5,2,0.014666667,1674.583333,6,22,0.0,666.8333333,0.0,2,0,2,0,2,3,0
0.0,5,2,0.033333333,132.0,0,9,0.0,0.0,0.0,3,0,4,1,1,1,0
22.03276923,5,2,0.019230769,1434.255128,1,50,0.0,73.0,740.0,2,1,2,1,2,3,0
0.0,5,2,0.044210526,367.25,2,18,0.0,154.0,0.0,1,0,3,1,2,2,0
0.0,5,2,0.014081633,148.5,3,7,0.0,49.33333333,303.25,2,5,3,0,2,2,0
0.0,5,2,0.010600255,1482.210784,3,29,0.0,118.5,0.0,8,0,3,1,2,1,0
0.0,5,2,0.032225685,1048.492063,6,34,0.0,153.5,0.0,1,0,2,1,6,1,0
0.0,5,2,0.011111111,478.0,0,9,0.0,0.0,0.0,3,0,3,1,2,2,0
0.0,5,2,0.04,980.25,0,16,0.0,0.0,0.0,3,0,2,0,2,4,0
0.0,5,2,0.036550087,1124.693074,8,51,0.0,72.25,21.5,2,1,2,0,2,2,0
0.0,5,2,0.031818182,353.1666667,2,22,0.0,24.5,0.0,3,0,2,0,5,1,0
0.0,5,2,0.046470588,1489.083333,1,18,0.0,0.0,0.0,1,0,2,0,2,8,0
0.0,5,2,0.030833333,2389.333333,0,28,0.0,0.0,1220.0,3,1,2,1,2,1,0
0.0,5,2,0.00952381,753.0,0,7,0.0,0.0,0.0,2,0,2,0,10,1,0
0.0,5,2,0.019354839,688.1666667,0,31,0.0,0.0,0.0,3,0,4,0,1,1,0
0.0,5,2,0.041025641,811.0,0,14,0.0,0.0,0.0,1,0,2,0,2,8,0
0.0,5,2,0.048148148,415.25,1,9,0.0,22.0,0.0,1,0,3,0,3,1,0
4.368515556,5,2,0.01805276,908.013456,16,32,0.0,155.6313131,0.0,2,0,2,0,2,3,1
0.0,5,2,0.015201207,2753.378571,1,71,0.0,21.33333333,235.0,1,1,3,1,2,2,0
0.0,5,2,0.022253906,2452.582143,2,46,0.0,191.0,100.0,3,1,3,1,2,9,0
0.0,5,2,0.05,5188.5,0,18,0.0,0.0,0.0,1,0,2,0,5,1,0
0.0,5,2,0.2,0.0,0,2,0.0,0.0,0.0,1,0,1,0,1,1,0
0.0,5,2,0.12,57.0,0,5,0.0,0.0,0.0,1,0,2,0,5,2,0
0.0,5,2,0.1,8.0,0,2,0.0,0.0,0.0,1,0,2,1,2,5,0
0.0,5,2,0.025666667,1430.659091,4,19,0.0,96.5,0.0,1,0,1,0,1,1,0
0.0,5,2,0.05,20.0,1,2,0.0,13.0,0.0,2,0,3,0,2,3,0
0.0,5,2,0.02,1373.75,5,4,0.0,1388.75,0.0,8,0,1,0,1,7,0
0.0,5,2,0.01037037,844.25,0,45,0.0,0.0,0.0,1,0,1,0,1,3,0
0.0,5,0,0.033333333,188.0,0,7,0.0,0.0,0.0,8,1,2,0,2,1,0
0.0,5,2,0.033862434,527.375,3,14,0.0,51.0,0.0,1,0,7,1,1,6,0
0.0,5,2,0.2,0.0,0,1,0.0,0.0,0.0,2,0,3,0,3,5,0
8.772473118,5,2,0.018709677,1916.761905,1,29,0.0,158.0,64.0,2,1,2,1,2,3,1
0.0,5,2,0.066666667,116.3333333,0,9,0.0,0.0,0.0,1,0,2,0,2,1,0
0.0,5,2,0.02,397.0,0,30,0.0,0.0,0.0,2,0,2,0,2,7,0
51.46331148,5,2,0.003329865,5220.083333,0,63,0.0,0.0,0.0,1,0,2,1,5,3,1
0.0,5,2,0.011666667,219.3333333,0,20,0.0,0.0,0.0,2,0,1,0,8,7,0
0.0,5,2,0.04,74.0,0,5,0.0,0.0,0.0,10,0,2,0,2,1,0
0.0,5,2,0.033846154,1559.6,0,15,0.0,0.0,0.0,1,0,2,0,4,1,0
0.0,5,2,0.016666667,236.5,0,6,0.0,0.0,0.0,3,0,1,1,1,1,0
0.0,5,2,0.053571429,348.6666667,1,14,0.0,10.0,0.0,1,0,3,1,2,1,0
0.0,5,2,0.2,0.0,0,1,0.0,0.0,0.0,1,0,2,0,5,1,0
0.0,5,0,0.014285714,224.5,1,13,0.0,28.0,47.0,8,1,1,0,1,1,0
0.0,5,2,0.004545455,601.7666667,4,42,0.0,27.0,0.0,3,0,2,0,5,3,0
0.0,5,2,0.013333333,75.5,0,5,0.0,0.0,0.0,9,0,1,1,1,2,0
0.0,5,2,0.05,153.0,0,2,0.0,0.0,0.0,1,0,2,0,5,6,0
38.99,5,2,0.016666667,197.2,4,10,0.0,15.0,0.0,3,0,1,1,1,1,1
0.0,5,2,0.05,3658.5,0,18,0.0,0.0,0.0,1,0,4,0,2,9,0
0.0,5,2,0.025,1162.5,0,5,0.0,0.0,0.0,2,0,2,0,2,2,0
0.0,5,2,0.039583333,556.6,0,32,0.0,0.0,0.0,1,0,2,0,2,3,0
0.0,5,2,0.033333333,41.0,0,3,0.0,0.0,0.0,3,0,2,1,2,1,0
53.9892,5,2,0.02,300.0714286,0,11,0.0,0.0,0.0,11,0,2,1,2,1,1
6.831792392,5,2,0.026186255,1626.625433,13,36,0.0,1249.809524,205.0,3,4,3,0,2,2,0
0.0,5,2,0.044444444,69.25,0,6,0.0,0.0,0.0,3,0,2,0,2,4,0
0.0,5,2,0.05,1169.1,2,10,0.0,390.0,0.0,2,0,3,0,9,9,0
0.0,5,2,0.038095238,402.0,0,8,0.0,0.0,0.0,1,0,2,0,2,2,0
